Front,Back,Tags
"Hvem rejste Jellingstenen ca. 965?","Harald Blåtand（哈拉爾藍牙王）— 宣告丹麥人皈依基督教，此石稱為「丹麥的受洗證明」Danmarks dåbsattest","history vikingetid"
"Hvad er Kalmarunionen og hvem ledte den?","1397 年成立的北歐三國聯盟（丹麥+挪威+瑞典），由 Margrete 1. 主導，簽於瑞典 Kalmar；1523 瑞典脫離","history middelalder"
"Hvilket år og under hvilken konge gennemførtes Reformationen i Danmark?","1536，Christian 3.；丹麥改宗路德宗 (Protestantismen)，國王取代教宗成為教會領袖","history reformation"
"Hvornår blev enevælden indført, og hvilken lov sikrede den?","1660-61，Frederik 3.；1665《Kongeloven 國王法》確立王位世襲與國王無限權力","history enevælde"
"Hvornår blev Stavnsbåndet ophævet?","1788 — 結束農民被綁在出生地的制度","history landbrugsreformer"
"Hvornår underskrev Frederik 7. Junigrundloven?","5. juni 1849 — 此日為 Grundlovsdag (行憲紀念日)","history grundlov"
"Hvad var resultatet af Den 2. Slesvigske Krig (1864)?","丹麥慘敗給普魯士+奧地利，失去 Slesvig、Holsten、Lauenborg，約 1/3 領土 + 2/5 人口；Dybbøl 戰役 4/18 為關鍵敗仗","history krig"
"Hvornår fik kvinder og tjenestefolk valgret?","1915 修憲（1918 生效）— 婦女與無自有家戶的傭人獲投票權","history valgret"
"Hvor længe varede Danmarks militære modstand mod Tyskland den 9. april 1940?","Mindre end en dag（不到一天）","history besættelse"
"Hvilken gruppe blev reddet til Sverige i oktober 1943?","Danske jøder（丹麥猶太人）— 約數千人成功偷渡","history besættelse"
"Hvornår blev grundloven sidst ændret, og hvad indebar det?","1953 — 廢 Landstinget 改一院制；女性王位繼承權；格陵蘭入憲；parlamentarisme 入憲","history grundlov"
"Hvornår blev Danmark medlem af EF?","1. januar 1973（1972/10 公投 63.3% 通過）","history eu"
"Hvad er de fire forbehold (Edinburgh-aftalen 1993)?","① 歐盟公民身分 ② 共同貨幣（歐元）③ 國防 ④ 司法與內政","history eu"
"Hvornår blev forsvarsforbeholdet afskaffet?","1. juni 2022 — 公投以 66.9% 通過廢除","history eu"
"Hvem blev Danmarks konge i januar 2024?","Frederik 10.（1968 生）— Margrethe 2. 於 14. januar 2024 退位後即位","current royal"
"Hvor mange medlemmer har Folketinget?","179 席（丹麥本土 175 + Grønland 2 + Færøerne 2）","politics folketing"
"Hvad er spærregrænsen ved folketingsvalg?","Mindst 2 %","politics folketing"
"Kan en regering bestå af partier uden flertal i Folketinget?","Ja — 少數政府很常見，只要無多數反對即可","politics regering"
"Hvem beslutter om udskrivelse af folketingsvalg?","Statsministeren（首相）","politics regering"
"Hvad har de 5 regioner ansvaret for?","Sygehuse（公立醫院）+ 醫療保健系統","politics regioner"
"Hvad har de 98 kommuner ansvaret for?","Folkeskole、Vuggestuer/Børnehaver、Ældrepleje、Jobcentre、社福","politics kommuner"
"Hvilke myndigheder kan udskrive skatter?","Staten og kommunerne（只有國家 + 市鎮）— Regioner 沒有徵稅權","politics økonomi"
"Hvornår blev regionerne oprettet?","2007（取代原本的 amter）","politics regioner"
"Hvad er Folketingets Ombudsmand?","議會監察使 — 獨立監督公共行政機關是否違法或疏失","politics kontrol"
"Hvad er Rigsretten?","彈劾法院 — 由 15 名 Højesteret 法官 + 15 名 Folketinget 選出者組成，審判違法部長","politics rigsret"
"Hvad er Højesteret?","丹麥最高法院 — 普通司法系統的頂端（≠ Rigsretten）","politics domstole"
"Hvem har den lovgivende magt?","Folketinget og regeringen（共用）","politics tredeling"
"Hvem har den udøvende magt?","Regeringen（政府）","politics tredeling"
"Hvem har den dømmende magt?","Domstolene（獨立法院）","politics tredeling"
"Skal en dansk statsborger være medlem af folkekirken?","Nej — 加入完全自願，宗教自由","politics folkekirke"
"Hvem skal være medlem af folkekirken (ved lov)?","Kongen / Dronningen（國王或女王必須是 Folkekirken 成員）","politics folkekirke"
"Hvad er kirkeskat?","教會稅 — 只有加入 Folkekirken 的成員才需繳，非公民義務","politics folkekirke"
"Hvad er værnepligt i Danmark?","義務役 — 18 歲以上具國籍之男女皆有","politics pligter"
"Hvad er den kriminelle lavalder?","15 år","politics retssamfund"
"Hvor længe kan politiet tilbageholde en anholdt før dommer?","I op til 1 døgn（最多 24 小時）","politics retssamfund"
"Hvordan finansieres den danske velfærdsmodel?","I fællesskab af hele befolkningen via skatter og afgifter（全民共同稅收）","economy velfærd"
"Hvem forhandler overenskomster på det private arbejdsmarked?","Fagforeninger og arbejdsgiverorganisationer（工會+雇主協會）— Den danske model","economy arbejdsmarked"
"Er flertallet af lønmodtagere medlem af en fagforening?","Ja — 工會參與率極高","economy arbejdsmarked"
"Hvad var Kanslergadeforliget 1933?","政治大協議 — 因經濟危機 (Økonomiske problemer)；奠定現代福利國家基礎；Stauning 主導","economy velfærd"
"Hvilken valuta bruger Danmark?","Danske kroner（DKK）— 2000 公投以 53.2% 反對拒絕歐元","economy valuta"
"Hvornår fik personer af samme køn ret til registreret partnerskab?","1989 — 丹麥為世界首例","social ligestilling"
"Er der lov om lige løn for samme arbejde?","Ja — Ligelønsloven 同工同酬法","social ligestilling"
"Hvem skrev Den grimme ælling?","H.C. Andersen（安徒生）","culture litteratur"
"Hvilken dansk film vandt Oscar i 2021?","Druk（醉好的時光）","culture film"
"Hvilken nobelpris fik Morten Meldal i 2022?","Nobelprisen i kemi（化學獎）","culture nobel"
"Hvilken nobelpris fik Niels Bohr i 1922?","Nobelprisen i fysik（物理獎）","culture nobel"
"Hvornår er Sankthans, og hvordan fejres det?","23. juni 仲夏節 — 晚上聚集點燃 bål（篝火）","culture traditioner"
"Hvornår blev Sønderjylland genforenet med Danmark?","1920 — 北 Slesvig 公投回歸（1864 戰敗後 56 年）","history slesvig"
"Hvem er Danmarks statsminister i 2026?","Mette Frederiksen（社民黨 Socialdemokratiet）","current regering"
"Hvem er Danmarks udenrigsminister?","Lars Løkke Rasmussen（Moderaterne）","current regering"
"Hvem er Danmarks forsvarsminister?","Troels Lund Poulsen（Venstre）","current regering"
"Hvem er Folketingets formand?","Søren Gade（Venstre）","current folketing"
"Hvornår har Danmark EU-formandskabet?","1. juli – 31. december 2025","current eu"
"Hvem er Danmarks EU-kommissær siden 2024?","Dan Jørgensen（Socialdemokratiet）— 負責能源與住宅","current eu"
"Hvor patruljerede krigsskibet Ivar Huitfeldt i 2024?","Ved den Arabiske Halvø（阿拉伯半島周邊 / 紅海）","current militær"
"Hvilken sport er Mikkel Hansen kendt for?","Håndbold（手球）— 2024 退役","current sport"
"Hvem vandt EM i håndbold for mænd i februar 2026?","Danmark（在 Herning 以 40-30 擊敗德國）","current sport"
"Hvem er Mathias Gidsel?","2024+2025+2026 三屆 IHF 世界最佳男子手球員","current sport"
"Hvad hedder kronprins Christians far?","Kong Frederik 10.","current royal"
"Hvad hedder dronningen?","Dronning Mary（原籍澳洲，1972 生）","current royal"
"Hvad er Den Grønne Trepart (2024)?","綠色三方協議 — 政府+市鎮+產業+工會+環團簽訂；農地轉自然、減汙、改造農業","current klima"
"Hvad er Koranloven (2023)?","禁止公開焚燒可蘭經、聖經、塔木德等宗教經典","current lov"
"Hvad skete der med danske statsborgerskabsansøgninger 9. marts 2026?","全面凍結審查 — 直到 2026/3/24 大選後新政府就入籍規則達成協議","current statsborgerskab"
"Hvilket forsvarsprocentmål nåede Danmark i 2025?","Cirka 3 % af BNP","current forsvar"
"Hvad er Operation Arctic Endurance (2026)?","丹麥主導的北約聯合軍演 — 威懾美國對格陵蘭的領土主張","current grønland"
"Hvad indebar Jordskredsvalget 1973?","「地震大選」— 多個新黨進入 Folketinget，重塑丹麥政治","history valg"
"Hvad er parlamentarisme?","議會制 — 政府不能有 Folketinget 多數反對；1953 入憲","politics tredeling"
"Hvad er en mistillidsvotum?","不信任投票 — Folketinget 可逼整個政府或單一部長下台","politics kontrol"
"Hvad er Danida?","丹麥外交部下屬 — 負責對外發展援助 (udviklingsbistand)","politics udenrigs"
"Hvad er A-kasse?","失業保險基金 — 通常隸屬工會，提供失業救濟金 (dagpenge)","economy arbejdsmarked"
"Hvilket folk søger jobcentre hjælper?","Arbejdsløse（失業者）— 由 Kommune 經營","politics kommuner"
"Hvor mange folkeafstemninger har der været siden 1953?","16 場 — 過半數關於 EU 議題","politics demokrati"
"Hvornår blev Danmark medlem af NATO?","1949 — 結束二戰中立政策","history nato"
"Hvornår blev Island en uafhængig republik?","1944 — 公投通過脫離丹麥","history rigsfællesskab"
"Hvilke områder er i Rigsfællesskabet med Danmark?","Færøerne（法羅）og Grønland（格陵蘭）","politics rigsfællesskab"
"Hvor høj er Danmarks højeste naturlige punkt?","Cirka 170 meter — Møllehøj","geography"
"Hvilket land kom mange landbrugsarbejdere fra i slutningen af 1800-tallet?","Polen（波蘭）— 季節性農工","history indvandring"
"Hvilket land kom flest gæstearbejdere fra i 1960'erne?","Tyrkiet（土耳其）","history indvandring"
"Hvor gamle er kvinder i gennemsnit ved deres første barn?","Cirka 29 år","social familie"
"Hvad arbejdede Rødstrømpebevægelsen for?","Ligestilling mellem mænd og kvinder（兩性平權）— 1970s 運動","social ligestilling"
"Hvornår blev fri abort indført?","1973 — 同年加入 EF","social ligestilling"
"Hvem var Thorvald Stauning?","Danmarks første socialdemokratiske statsminister（1924）","history politik"
"Hvem var Nina Bang?","Danmarks første kvindelige minister（1924）","history politik"
